"17","Hotstar TV Movies Live Cricket - Android Apps on Google Play","21-10-2016","22-10-2016","2"
"20","Jabong-Adjust",,,"2"
"22","StartAR - Android Apps on Google Play","28-10-2016","31-10-2016","2"
"23","Jabong-Adjust-PW","01-10-2016",,"2"
"25","Eliph Nutrition Health Products CPA","02-11-2016","12-11-2016","1"
"26","startAr bookse","01-11-2016","30-11-2016","2"
"27","UC News Test","01-11-2016","30-11-2016","2"
"31","Google","02-11-2016","01-11-2016","1"
"32","Graper","01-11-2016","15-11-2016","1"
"34","Amazon Incent - CPI","03-11-2016",,"1"
"35","Facebook iOS ROW CPA - 910515","2016-11-08","2017-02-10","1"
"36","Facebook iOS ROW CPA - 910515","2016-11-08","2017-02-10","1"
"37","Facebook iOS ROW CPA - 910515","2016-11-08","2017-02-10","1"
"38","Facebook iOS ROW CPA - 910515","2016-11-08","2017-02-10","1"
"39","Facebook iOS ROW CPA - 910515","2016-11-08","2017-02-10","1"
"41","Gilt","2016-11-10","2030-03-15","1"
"42","Oceans and Empires (Android 4.1+) KR - Non incent","2016-11-10","2017-11-09","1"
"43","Nine Yin Scriptures 3D (iPhone 6.0+, iPad 6.0+) TW HK MO - Non incent","2016-11-10","2016-11-23","1"
"44","UNISON LEAGUE (Android 3.0+) JP - Non incent","2016-11-10","2017-11-07","1"
"45","Ali - Express Incent","01-11-2016","30-11-2016","1"
"46","Lords Mobile (iPhone 7.0+, iPad 7.0+) CN - Non incent","2016-11-10","2016-11-30","1"
"47","VALKYRIE CONNECT (iPhone 8.0+) JP - Non incent","2016-11-10","2016-11-30","1"
"48","Lazada (iPhone 8.0+, iPad 8.0+) SG - Non incent","2016-11-10","2017-11-09","1"
"49","Throne: Kingdom at War (Android 4.0.3+) FR DE GB - Non incent","2016-11-10","2017-11-06","1"
"50","Throne: Kingdom at War (Android 4.0.3+) US AU CA - Non incent","2016-11-10","2017-11-06","1"
"51","Slotomania - Free Casino Slots (iPhone 7.0+) US - Non incent","2016-11-10","2016-11-30","1"
"52","Jabong-CPA-Offer","11-11-2016","21-11-2016","2"
"53","NSFW","01-11-2016",,"1"
"54","Gardenscapes - New Acres Android US Incent - 4361155","2016-11-15","2017-11-06","1"
"55","App Download -Yeah Video - Android (TH) - Non Incentive - Private - Exclusive","2016-11-15","2017-02-13","1"
